source_ip,dest_ip,packet_size,time_diff
216.185.152.111,172.16.133.132,630,0.3126119999999999
172.16.133.207,172.16.139.250,265,1.0032519999999998
172.16.133.132,216.185.152.111,446,0.09390999999999994
172.16.133.83,172.16.139.250,265,1.015006
172.16.133.93,172.16.139.250,265,1.014359
172.16.133.11,172.16.139.250,265,1.013985
172.16.133.55,172.16.139.250,265,1.014536
172.16.133.73,172.16.139.250,265,1.013608
172.16.133.21,172.16.139.250,265,1.0133480000000001
172.16.133.30,172.16.139.250,265,1.004924
172.16.133.53,172.16.139.250,265,1.0243000000000002
98.139.134.187,172.16.133.132,1345,0.4457549999999999
216.185.152.111,172.16.133.132,777,0.092889
172.16.133.34,172.16.139.250,265,1.0151810000000001
172.16.133.25,172.16.139.250,265,1.015897
172.16.133.97,172.16.139.250,265,1.014464
172.16.133.132,76.13.6.174,445,0.44762599999999986
172.16.133.132,98.139.161.29,443,0.45228500000000005
76.13.6.174,172.16.133.132,1000,0.4015519999999999
172.16.133.132,98.138.19.88,461,0.3535299999999999
98.139.161.29,172.16.133.132,507,0.41522800000000015
172.16.133.33,172.16.139.250,265,1.014255
172.16.133.68,172.16.139.250,265,1.016079
172.16.133.132,98.139.240.23,782,0.4152880000000001
172.16.133.12,172.16.139.250,265,1.015092
98.138.19.88,172.16.133.132,66,0.3510620000000002
172.16.133.63,172.16.139.250,265,1.0229529999999998
172.16.133.66,172.16.139.250,265,1.022935
172.16.133.82,172.16.139.250,265,1.002683
98.139.240.23,172.16.133.132,60,0.424091
172.16.133.37,172.16.139.250,265,0.9980560000000002
172.16.133.254,172.16.128.233,1326,0.34625400000000006
172.16.133.132,216.185.152.111,450,0.32631999999999994
172.16.133.132,98.139.134.187,472,0.40635600000000016
216.185.152.111,172.16.133.132,630,0.3371540000000002
172.16.133.132,216.185.152.111,446,0.09994999999999998
172.16.133.78,172.16.139.250,265,1.017507
98.139.134.187,172.16.133.132,1345,0.3736680000000001
172.16.133.132,76.13.6.174,445,0.37750000000000017
172.16.133.67,172.16.139.250,265,1.0227110000000001
172.16.133.132,98.139.161.29,443,0.3661129999999999
216.185.152.111,172.16.133.132,777,0.08243099999999992
172.16.133.56,172.16.139.250,265,1.012677
172.16.133.42,172.16.139.250,265,1.0259520000000002
76.13.6.174,172.16.133.132,1002,0.3731340000000001
98.139.161.29,172.16.133.132,507,0.36461299999999985
172.16.133.75,172.16.139.250,265,1.004586
172.16.133.41,172.16.139.250,265,1.0152169999999998
172.16.133.85,172.16.139.250,265,1.006508
172.16.133.132,98.139.240.23,781,0.3597919999999999
172.16.133.132,98.138.19.88,461,0.4347209999999999
98.139.240.23,172.16.133.132,60,0.35486099999999987
172.16.133.43,172.16.139.250,265,1.023218
172.16.133.13,172.16.139.250,265,1.0037280000000002
98.138.19.88,172.16.133.132,66,0.44059399999999993
172.16.133.132,216.185.152.111,450,0.2659150000000001
172.16.133.20,172.16.139.250,265,1.0055279999999998
172.16.133.28,172.16.139.250,265,1.0230380000000001
172.16.133.99,172.16.139.250,265,1.0048469999999998
172.16.133.87,172.16.139.250,265,1.0140789999999997
172.16.133.132,98.139.134.187,472,0.3961840000000001
216.185.152.111,172.16.133.132,630,0.2833739999999998
172.16.133.132,216.185.152.111,446,0.09725800000000007
172.16.133.116,172.16.139.250,265,0.9987690000000002
172.16.133.116,172.16.139.250,265,0.006623999999999963
172.16.133.116,172.16.139.250,265,0.00633999999999979
172.16.133.84,172.16.139.250,265,1.0138459999999998
172.16.133.35,172.16.139.250,265,1.061905
98.139.134.187,172.16.133.132,1345,0.40572699999999995
216.185.152.111,172.16.133.132,777,0.08197200000000038
172.16.133.132,76.13.6.174,445,0.39460800000000007
172.16.133.49,172.16.139.250,265,1.004943
172.16.133.95,172.16.139.250,265,1.013114
172.16.133.44,216.52.242.80,309,0
172.16.133.132,98.139.161.29,443,0.452553
172.16.133.92,172.16.139.250,265,1.0226080000000002
172.16.133.29,172.16.139.250,265,1.0140380000000002
172.16.133.44,172.16.139.250,265,1.019016
172.16.133.132,98.138.19.88,461,0.40552699999999997
98.139.161.29,172.16.133.132,507,0.4673259999999999
172.16.133.207,172.16.139.250,265,1.014165
172.16.133.254,172.16.128.233,1426,0.6909459999999998
172.16.133.83,172.16.139.250,265,1.0142509999999998
76.13.6.174,172.16.133.132,1001,0.49009500000000017
172.16.133.93,172.16.139.250,265,1.0233299999999999
172.16.133.11,172.16.139.250,265,1.0140170000000002
172.16.133.55,172.16.139.250,265,1.012486
172.16.133.132,98.139.240.23,782,0.4842620000000002
98.138.19.88,172.16.133.132,66,0.40820299999999987
172.16.133.73,172.16.139.250,265,1.014064
172.16.133.30,172.16.139.250,265,1.012885
172.16.133.53,172.16.139.250,265,1.015027
172.16.133.21,172.16.139.250,265,1.022777
172.16.133.25,172.16.139.250,265,1.004788
172.16.133.34,172.16.139.250,265,1.014188
98.139.240.23,172.16.133.132,60,0.4927800000000002
172.16.133.97,172.16.139.250,265,1.013515
172.16.133.132,216.185.152.111,450,0.36129599999999984
172.16.133.33,172.16.139.250,265,1.013829
172.16.133.132,98.139.134.187,472,0.42877199999999993
172.16.133.68,172.16.139.250,265,1.011946
172.16.133.12,172.16.139.250,265,1.0131109999999999
216.185.152.111,172.16.133.132,630,0.37516399999999983
172.16.133.132,216.185.152.111,446,0.10015200000000002
172.16.133.63,172.16.139.250,265,1.0139669999999998
172.16.133.66,172.16.139.250,265,1.0049220000000003
172.16.133.82,172.16.139.250,265,1.024408
98.139.134.187,172.16.133.132,1345,0.4354689999999999
172.16.133.37,172.16.139.250,265,1.022663
172.16.133.132,76.13.6.174,445,0.43191500000000005
216.185.152.111,172.16.133.132,777,0.09027699999999994
172.16.133.44,208.111.161.254,918,0
172.16.133.44,208.111.161.254,617,0.0005589999999999762
76.13.6.174,172.16.133.132,1001,0.3375539999999999
172.16.133.42,172.16.139.250,139,0.865221
208.111.161.254,172.16.133.44,1366,0
208.111.161.254,172.16.133.44,139,0.00014899999999995472
172.16.133.132,98.139.161.29,443,0.46114999999999995
172.16.133.132,98.139.240.23,782,0.37146199999999974
172.16.133.132,98.138.19.88,461,0.44243999999999994
98.139.161.29,172.16.133.132,507,0.4474870000000002
172.16.133.78,172.16.139.250,265,1.021657
98.139.240.23,172.16.133.132,60,0.36355099999999974
172.16.133.67,172.16.139.250,265,1.0044579999999999
98.138.19.88,172.16.133.132,66,0.4384809999999999
172.16.133.78,172.16.139.250,139,0.06024699999999994
172.16.133.42,172.16.139.250,265,0.14221700000000004
172.16.133.56,172.16.139.250,265,1.014384
