src_ip,dest_ip,pkt_size,time_diff,original_class
172.16.133.54,74.125.226.1,541,0.00865500000000452,regular http traffic
172.16.133.54,74.125.226.1,540,0.00042600000000447835,regular http traffic
172.16.133.54,74.125.226.1,542,0.0002980000000007976,regular http traffic
172.16.133.54,74.125.226.1,547,0.0012720000000001619,regular http traffic
172.16.133.54,74.125.226.1,545,0.0004119999999971924,regular http traffic
172.16.133.54,74.125.226.1,546,0.0002329999999943766,regular http traffic
172.16.133.54,74.125.226.1,544,0.003897000000009143,regular http traffic
172.16.133.54,74.125.226.1,545,0.0019169999999917309,regular http traffic
172.16.133.54,74.125.226.1,543,0.00029299999999921056,regular http traffic
