src_ip,dest_ip,pkt_size,time_diff,original_class
,,108,0.0011970000000474101,regular http traffic
,,108,0.002195000000028813,regular http traffic
,,108,0.001199999999926149,regular http traffic
,,108,0.0004470000001219887,regular http traffic
,,393,0.006895999999869673,regular http traffic
,,223,0.08765900000003057,regular http traffic
,,423,0.009178999999903681,regular http traffic
,,108,4.903971000000183,regular http traffic
,,108,0.002195999999912601,regular http traffic
,,112,0.0009549999999762804,regular http traffic
,,97,0.0014450000001033914,regular http traffic
,,97,0.0018959999999879074,regular http traffic
,,112,0.00783499999988635,regular http traffic
,,112,0.0014479999999821302,regular http traffic
,,97,0.001997999999957756,regular http traffic
,,97,0.0022990000002209854,regular http traffic
,,112,0.10223099999984697,regular http traffic
,,253,0.0183710000001156,regular http traffic
,,90,0.01143099999990227,regular http traffic
,,90,0.019569999999930587,regular http traffic
,,112,4.8338350000001356,regular http traffic
,,90,0.1894959999999628,regular http traffic
,,90,0.006986999999980981,regular http traffic
,,90,0.01008300000012241,regular http traffic
,,90,0.007886999999982436,regular http traffic
,,143,0.004592000000002372,regular http traffic
,,280,0.00409799999988536,regular http traffic
,,483,1.8656989999999496,regular http traffic
,,538,0.004147999999986496,regular http traffic
,,483,4.9795950000000175,regular http traffic
,,108,193.084433,regular http traffic
,,108,0.0003970000000208529,regular http traffic
,,108,0.003439000000071246,regular http traffic
,,108,0.0012500000000272848,regular http traffic
,,108,0.00034800000003087916,regular http traffic
,,423,0.009783999999854132,regular http traffic
,,223,0.005493999999998778,regular http traffic
,,112,0.02735500000017055,regular http traffic
,,112,0.0319489999999405,regular http traffic
,,483,2.992291000000023,regular http traffic
,,108,1.9429270000000542,regular http traffic
,,108,0.0005009999999856518,regular http traffic
,,97,0.0022950000000037107,regular http traffic
,,97,0.00179800000000796,regular http traffic
,,112,0.007586999999830368,regular http traffic
,,112,0.0013980000001083681,regular http traffic
,,97,0.0012489999999161228,regular http traffic
,,97,0.002300999999988562,regular http traffic
,,112,0.02210900000000038,regular http traffic
,,253,0.00434199999995144,regular http traffic
,,90,0.018770000000131404,regular http traffic
,,90,0.022868000000016764,regular http traffic
,,90,5.027468999999883,regular http traffic
,,90,0.0063890000001265435,regular http traffic
,,90,0.010084000000006199,regular http traffic
,,90,0.006589999999960128,regular http traffic
,,143,0.004740999999967244,regular http traffic
,,281,0.004048999999895386,regular http traffic
,,108,35.01249400000006,regular http traffic
,,393,0.007135999999945852,regular http traffic
,,108,193.168539,regular http traffic
,,108,0.00016200000004573667,regular http traffic
,,108,0.0003930000000309519,regular http traffic
,,108,0.0003440000000409782,regular http traffic
,,108,9.999999997489795e-05,regular http traffic
,,423,0.014226999999891632,regular http traffic
,,223,0.004102000000102635,regular http traffic
,,393,0.0003469999999197171,regular http traffic
,,483,3.154032000000143,regular http traffic
,,108,1.8358929999999418,regular http traffic
,,108,0.0004989999999907013,regular http traffic
,,97,0.0028959999999642605,regular http traffic
,,112,0.0040430000001379085,regular http traffic
,,97,0.0019469999999728316,regular http traffic
,,112,0.0028959999999642605,regular http traffic
,,97,0.00314499999990403,regular http traffic
,,97,0.003593000000137181,regular http traffic
,,112,0.003294999999980064,regular http traffic
,,253,0.007344999999986612,regular http traffic
,,90,0.01132499999994252,regular http traffic
,,90,0.020019000000047527,regular http traffic
,,90,5.012897000000066,regular http traffic
,,90,0.00638899999989917,regular http traffic
,,90,0.009634000000005472,regular http traffic
,,90,0.006194000000050437,regular http traffic
,,143,0.006584999999859065,regular http traffic
,,281,0.004004000000122687,regular http traffic
,,96,1283.1606980000001,regular http traffic
,,96,0.001645999999709602,regular http traffic
,,108,0.0018480000003364694,regular http traffic
,,108,0.0003560000000106811,regular http traffic
,,223,0.002453999999943335,regular http traffic
,,108,0.001382999999805179,regular http traffic
,,108,0.0012980000001334702,regular http traffic
,,423,0.007137999999940803,regular http traffic
,,96,0.046776000000136264,regular http traffic
,,87,0.006488999999874068,regular http traffic
,,108,0.003992999999809399,regular http traffic
,,872,0.013479000000188535,regular http traffic
,,512,0.08672999999998865,regular http traffic
,,96,0.014956999999867548,regular http traffic
,,96,0.00016600000026301132,regular http traffic
,,108,0.032031999999617256,regular http traffic
,,478,0.06825700000035795,regular http traffic
,,512,0.11301899999989473,regular http traffic
,,108,4.616533999999774,regular http traffic
,,108,0.0004490000001169392,regular http traffic
,,97,0.0018970000000990694,regular http traffic
,,97,0.0038439999998445273,regular http traffic
,,112,0.008286000000225613,regular http traffic
,,112,0.0013479999997798586,regular http traffic
,,97,0.001348000000234606,regular http traffic
,,97,0.0029959999997117848,regular http traffic
,,96,0.007437000000209082,regular http traffic
,,112,0.0042929999999614665,regular http traffic
,,252,0.0061409999998431886,regular http traffic
,,90,0.026357000000189146,regular http traffic
,,90,0.029802999999901658,regular http traffic
,,96,0.10947399999986374,regular http traffic
,,108,0.9802290000002358,regular http traffic
,,108,0.00014899999996487168,regular http traffic
,,223,0.023579000000154338,regular http traffic
,,422,3.399999968678458e-05,regular http traffic
,,108,0.21041200000036042,regular http traffic
,,100,3.603523999999652,regular http traffic
,,96,0.00016700000014679972,regular http traffic
,,100,0.0858459999999468,regular http traffic
,,90,0.0005989999999655993,regular http traffic
,,90,0.0056899999999586726,regular http traffic
,,90,0.004993000000013126,regular http traffic
,,90,0.004059000000324886,regular http traffic
,,143,0.002430000000003929,regular http traffic
,,281,0.027823999999782245,regular http traffic
,,100,0.036173999999846274,regular http traffic
,,96,1.5999999959603883e-05,regular http traffic
,,100,0.020401000000219938,regular http traffic
,,108,0.9762350000000879,regular http traffic
,,97,0.003444999999828724,regular http traffic
,,112,0.006288999999924272,regular http traffic
,,97,0.0022470000003522728,regular http traffic
,,108,0.008286999999654654,regular http traffic
,,97,0.003594000000248343,regular http traffic
,,112,0.009285000000090804,regular http traffic
,,97,0.002645999999913329,regular http traffic
,,112,0.043629999999666325,regular http traffic
,,252,0.0056410000001960725,regular http traffic
,,90,0.024210999999922933,regular http traffic
,,90,0.01572500000020227,regular http traffic
,,96,0.9414409999999407,regular http traffic
,,87,0.16388700000015888,regular http traffic
,,108,0.048272999999880994,regular http traffic
,,478,0.3079560000001038,regular http traffic
,,100,2.2501429999997526,regular http traffic
,,100,0.1675310000000536,regular http traffic
,,90,1.1289409999999407,regular http traffic
,,90,0.005292000000281405,regular http traffic
,,90,0.012628999999833468,regular http traffic
,,90,0.02191499999980806,regular http traffic
,,143,0.015326000000186468,regular http traffic
,,280,0.048721999999997934,regular http traffic
,,262,29.103847999999743,regular http traffic
,,267,0.000499000000218075,regular http traffic
,,250,0.00041499999997540726,regular http traffic
,,262,0.0015819999998711864,regular http traffic
,,277,0.0007490000002690067,regular http traffic
,,260,0.0007989999999153952,regular http traffic
,,275,0.0044100000000071304,regular http traffic
,,251,0.00018199999976786785,regular http traffic
,,261,0.0018979999999828578,regular http traffic
,,267,0.000398000000132015,regular http traffic
,,242,0.0068059999998695275,regular http traffic
,,441,0.010368000000198663,regular http traffic
,,246,0.0251589999998032,regular http traffic
,,246,0.0027460000001156004,regular http traffic
,,872,0.02016700000012861,regular http traffic
,,246,0.07742599999983213,regular http traffic
,,246,0.00015000000030340743,regular http traffic
,,262,0.1032839999998032,regular http traffic
,,267,0.0003990000000158034,regular http traffic
,,250,0.000349999999798456,regular http traffic
,,262,0.0004109999999855063,regular http traffic
,,246,0.0007370000002993038,regular http traffic
,,267,1.900000006571645e-05,regular http traffic
,,277,0.0015789999997650739,regular http traffic
,,242,0.036410000000159926,regular http traffic
,,252,0.002431999999771506,regular http traffic
,,872,0.0019580000002861198,regular http traffic
,,442,0.011864999999943393,regular http traffic
,,251,0.003044999999929132,regular http traffic
,,272,0.0013979999998809944,regular http traffic
,,766,0.00743800000009287,regular http traffic
,,246,0.030102000000169937,regular http traffic
,,246,0.00014999999984866008,regular http traffic
,,1029,0.03199799999993047,regular http traffic
,,273,0.07313299999987066,regular http traffic
,,278,0.0007990000003701425,regular http traffic
,,261,0.0004659999999603315,regular http traffic
,,793,0.00018299999965165625,regular http traffic
,,246,0.0012980000001334702,regular http traffic
,,278,0.002096000000165077,regular http traffic
,,253,0.0018970000000990694,regular http traffic
,,112,0.07204799999999523,regular http traffic
,,262,0.07551599999987957,regular http traffic
,,251,0.0004490000001169392,regular http traffic
,,262,0.0012480000000323344,regular http traffic
,,872,0.046097999999801686,regular http traffic
,,267,0.04944900000009511,regular http traffic
,,441,0.004942000000028202,regular http traffic
,,267,0.06694299999981013,regular http traffic
,,242,0.0042929999999614665,regular http traffic
,,246,0.05096899999989546,regular http traffic
,,1029,0.03500000000030923,regular http traffic
,,272,0.03278999999974985,regular http traffic
,,792,0.0014479999999821302,regular http traffic
,,250,0.13433600000007573,regular http traffic
,,246,0.0009479999998802668,regular http traffic
,,262,0.05610999999998967,regular http traffic
,,1029,0.20871500000021115,regular http traffic
,,273,0.1386779999997998,regular http traffic
,,767,0.0015970000004017493,regular http traffic
,,96,424.55417999999963,regular http traffic
,,96,0.00010400000019217259,regular http traffic
,,108,0.034491999999772815,regular http traffic
,,394,0.9132870000003095,regular http traffic
,,96,4.103370999999697,regular http traffic
,,108,0.9892190000000483,regular http traffic
,,223,0.0024630000002616725,regular http traffic
,,108,0.013156999999864638,regular http traffic
,,423,0.012831000000005588,regular http traffic
,,108,0.9236350000001039,regular http traffic
,,90,0.28827099999989514,regular http traffic
,,100,2.730841000000055,regular http traffic
,,96,0.00013099999978294363,regular http traffic
,,100,0.04083400000035908,regular http traffic
,,108,1.0043409999998403,regular http traffic
,,97,0.002945000000181608,regular http traffic
,,112,0.006339000000025408,regular http traffic
,,97,0.0023469999996450497,regular http traffic
,,112,0.021416000000044733,regular http traffic
,,252,0.0025960000002669403,regular http traffic
,,90,0.0170429999998305,regular http traffic
,,108,0.009513999999853695,regular http traffic
,,97,0.005890000000363216,regular http traffic
,,112,0.00818699999990713,regular http traffic
,,90,0.002745999999660853,regular http traffic
,,97,0.008437000000412809,regular http traffic
,,96,0.9134389999999257,regular http traffic
,,87,0.019620000000031723,regular http traffic
,,108,0.07177999999976237,regular http traffic
,,478,0.24156399999992573,regular http traffic
,,100,2.62528999999995,regular http traffic
,,90,1.1286910000003445,regular http traffic
,,90,0.005490999999892665,regular http traffic
,,90,0.009985000000142463,regular http traffic
,,90,0.0051909999997405976,regular http traffic
,,143,0.0036960000002181914,regular http traffic
,,281,0.004160999999839987,regular http traffic
,,96,468.98395600000003,regular http traffic
,,108,0.0003990000000158034,regular http traffic
,,108,0.0005499999997482519,regular http traffic
,,108,0.0011470000004010217,regular http traffic
,,108,0.00925199999983306,regular http traffic
,,422,0.006323000000065804,regular http traffic
,,223,0.002300000000104774,regular http traffic
,,96,0.011527999999998428,regular http traffic
,,108,0.028804999999920256,regular http traffic
,,87,0.0060399999997571285,regular http traffic
,,478,0.266023000000132,regular http traffic
,,90,1.8000000181928044e-05,regular http traffic
,,96,4.676136999999926,regular http traffic
,,96,0.00014899999996487168,regular http traffic
,,108,0.0008990000001176668,regular http traffic
,,108,0.00014999999984866008,regular http traffic
,,97,0.002595999999812193,regular http traffic
,,112,0.0031950000002325396,regular http traffic
,,97,1.900000006571645e-05,regular http traffic
,,112,0.003624999999829015,regular http traffic
,,97,0.0019969999998465937,regular http traffic
,,97,0.005192000000079133,regular http traffic
,,112,0.01008300000012241,regular http traffic
