src_ip,dest_ip,pkt_size,time_diff,original_class
172.16.133.47,72.21.195.34,648,0.0011570000000000746,regular http traffic
172.16.133.47,72.21.195.34,648,0.42208099999999993,regular http traffic
172.16.133.47,72.21.195.34,642,7.7737929999999995,regular http traffic
172.16.133.47,72.21.195.34,648,0.6653460000000013,regular http traffic
172.16.133.47,72.21.195.34,642,3.811933,regular http traffic
172.16.133.47,72.21.195.34,648,0.2567149999999998,regular http traffic
172.16.133.47,72.21.195.34,642,4.128395999999999,regular http traffic
172.16.133.47,72.21.195.34,646,0.973625000000002,regular http traffic
